member_id,first_name,last_name,dob,gender,zip
M000001,First1,Last1,2018-10-13,F,38977
M000002,First2,Last2,1950-09-28,F,47959
M000003,First3,Last3,1998-03-18,F,84830
M000004,First4,Last4,1984-09-27,F,23507
M000005,First5,Last5,2018-11-07,M,22770
M000006,First6,Last6,2015-12-03,F,91134
M000007,First7,Last7,1971-08-22,M,51175
M000008,First8,Last8,2004-10-15,M,49291
M000009,First9,Last9,1976-03-23,F,20728
M000010,First10,Last10,2018-05-17,M,55020
M000011,First11,Last11,2002-05-20,F,25475
M000012,First12,Last12,2010-07-06,M,29920
M000013,First13,Last13,2007-07-02,F,83148
M000014,First14,Last14,2018-06-11,M,87905
M000015,First15,Last15,2008-10-26,M,19012
M000016,First16,Last16,1956-05-16,F,17952
M000017,First17,Last17,1984-11-19,M,47302
M000018,First18,Last18,1994-11-12,F,70515
M000019,First19,Last19,1990-03-20,F,74709
M000020,First20,Last20,1952-04-25,M,26952
M000021,First21,Last21,1976-07-13,M,20561
M000022,First22,Last22,1966-08-13,M,27947
M000023,First23,Last23,2000-09-09,M,57024
M000024,First24,Last24,1993-04-05,F,33097
M000025,First25,Last25,1964-04-22,F,11581
M000026,First26,Last26,2007-10-06,M,46953
M000027,First27,Last27,1945-03-14,M,89929
M000028,First28,Last28,2017-06-05,F,69853
M000029,First29,Last29,2016-07-13,M,61658
M000030,First30,Last30,1958-08-21,M,18158
M000031,First31,Last31,1969-02-07,M,31273
M000032,First32,Last32,1959-06-20,F,23419
M000033,First33,Last33,1945-10-05,F,57659
M000034,First34,Last34,1948-02-28,F,90487
M000035,First35,Last35,1993-03-21,M,55533
M000036,First36,Last36,1991-08-04,F,73972
M000037,First37,Last37,2004-08-16,M,21257
M000038,First38,Last38,1963-02-24,M,44702
M000039,First39,Last39,2006-12-06,F,36897
M000040,First40,Last40,2012-06-05,F,79220
M000041,First41,Last41,1983-11-28,F,44224
M000042,First42,Last42,2011-06-06,M,39201
M000043,First43,Last43,2013-09-25,M,93419
M000044,First44,Last44,1973-10-26,F,41377
M000045,First45,Last45,1996-12-26,F,36203
M000046,First46,Last46,2011-08-12,F,13661
M000047,First47,Last47,1980-08-09,F,89316
M000048,First48,Last48,1989-08-26,M,57793
M000049,First49,Last49,1955-04-04,F,71614
M000050,First50,Last50,1970-06-07,M,91797
M000051,First51,Last51,1945-08-21,M,94296
M000052,First52,Last52,1955-11-04,M,36125
M000053,First53,Last53,2006-03-14,M,21370
M000054,First54,Last54,1995-08-13,F,30821
M000055,First55,Last55,1966-03-01,F,87438
M000056,First56,Last56,2004-11-05,M,96149
M000057,First57,Last57,1989-03-18,F,12804
M000058,First58,Last58,1946-12-21,F,79020
M000059,First59,Last59,1962-07-28,F,37661
M000060,First60,Last60,1948-05-07,M,75688
M000061,First61,Last61,1975-10-11,M,81349
M000062,First62,Last62,1998-03-02,M,70052
M000063,First63,Last63,2011-07-27,F,79707
M000064,First64,Last64,1964-09-17,F,67688
M000065,First65,Last65,1968-10-01,F,32589
M000066,First66,Last66,1963-08-20,F,82938
M000067,First67,Last67,1952-06-22,M,23907
M000068,First68,Last68,2016-01-08,F,46296
M000069,First69,Last69,1950-02-17,M,83626
M000070,First70,Last70,1948-02-15,M,90285
M000071,First71,Last71,2009-10-17,F,46331
M000072,First72,Last72,2002-09-18,M,76552
M000073,First73,Last73,1976-12-17,M,83336
M000074,First74,Last74,1970-08-05,M,25941
M000075,First75,Last75,1995-08-11,F,97969
M000076,First76,Last76,1975-07-03,F,97749
M000077,First77,Last77,1983-02-25,F,94339
M000078,First78,Last78,1991-03-09,F,71307
M000079,First79,Last79,1973-12-04,M,73866
M000080,First80,Last80,1965-11-27,F,31163
M000081,First81,Last81,2000-09-13,M,65217
M000082,First82,Last82,1970-06-11,F,57966
M000083,First83,Last83,1947-06-18,M,67731
M000084,First84,Last84,1947-07-11,M,77143
M000085,First85,Last85,1953-02-26,F,23733
M000086,First86,Last86,1955-05-09,F,33796
M000087,First87,Last87,1979-03-27,M,98601
M000088,First88,Last88,1978-07-05,M,52866
M000089,First89,Last89,1956-05-02,F,65747
M000090,First90,Last90,1954-05-01,F,44151
M000091,First91,Last91,1955-10-28,F,18732
M000092,First92,Last92,1978-02-15,F,54453
M000093,First93,Last93,2015-07-09,F,15663
M000094,First94,Last94,2012-12-08,F,31161
M000095,First95,Last95,1978-01-06,F,50893
M000096,First96,Last96,1984-09-25,F,48005
M000097,First97,Last97,2002-09-22,F,45457
M000098,First98,Last98,1989-01-09,F,12011
M000099,First99,Last99,1947-12-17,F,77401
M000100,First100,Last100,2005-04-15,F,96287
M000101,First101,Last101,2000-11-16,M,76412
M000102,First102,Last102,1984-12-07,F,54918
M000103,First103,Last103,1970-12-24,F,63044
M000104,First104,Last104,1989-01-27,F,11868
M000105,First105,Last105,1954-11-24,M,66458
M000106,First106,Last106,1965-01-03,M,76314
M000107,First107,Last107,1981-10-08,M,15929
M000108,First108,Last108,2003-03-06,M,68435
M000109,First109,Last109,1945-05-12,M,81706
M000110,First110,Last110,1986-04-02,M,38556
M000111,First111,Last111,1990-03-01,M,60020
M000112,First112,Last112,1955-08-09,F,42529
M000113,First113,Last113,2009-01-03,M,21764
M000114,First114,Last114,1963-07-19,F,61639
M000115,First115,Last115,1947-05-10,F,21073
M000116,First116,Last116,2012-03-22,M,52747
M000117,First117,Last117,2008-03-10,F,15739
M000118,First118,Last118,2010-11-14,F,78649
M000119,First119,Last119,2009-10-27,F,99977
M000120,First120,Last120,1974-02-01,F,27444
